#          r            f            d         rho1         rho2         mass
 1.24186e+00  9.99871e-01  2.27132e-04  4.96739e-05  2.92843e-06  2.49835e-01
 1.29684e+00  9.99882e-01  1.97911e-04  3.06400e-05  2.34031e-06  2.49882e-01
 1.35426e+00  9.99893e-01  1.72449e-04  1.85351e-05  1.87020e-06  2.49915e-01
 1.41421e+00  9.99902e-01  1.50263e-04  1.09868e-05  1.49447e-06  2.49938e-01
 1.47683e+00  9.99911e-01  1.30931e-04  6.37561e-06  1.19418e-06  2.49954e-01
 1.54221e+00  9.99919e-01  1.14085e-04  3.61861e-06  9.54216e-07  2.49965e-01
 1.61049e+00  9.99927e-01  9.94069e-05  2.00680e-06  7.62457e-07  2.49973e-01
 1.68179e+00  9.99933e-01  8.66169e-05  1.08633e-06  6.09227e-07  2.49978e-01
 1.75625e+00  9.99939e-01  7.54724e-05  5.73394e-07  4.86787e-07  2.49982e-01
 1.83401e+00  9.99945e-01  6.57616e-05  2.94774e-07  3.88953e-07  2.49984e-01
 1.91521e+00  9.99950e-01  5.73002e-05  1.47423e-07  3.10781e-07  2.49986e-01
 2.00000e+00  9.99954e-01  4.99275e-05  7.16394e-08  2.48319e-07  2.49988e-01
 2.08855e+00  9.99958e-01  4.35032e-05  3.37821e-08  1.98409e-07  2.49989e-01
 2.18102e+00  9.99962e-01  3.79056e-05  1.54386e-08  1.58531e-07  2.49990e-01
 2.27758e+00  9.99965e-01  3.30282e-05  6.82819e-09  1.26668e-07  2.49991e-01
 2.37841e+00  9.99969e-01  2.87784e-05  2.91844e-09  1.01209e-07  2.49992e-01
 2.48372e+00  9.99971e-01  2.50753e-05  1.20360e-09  8.08674e-08  2.49993e-01
 2.59368e+00  9.99974e-01  2.18488e-05  4.78210e-10  6.46138e-08  2.49994e-01
 2.70851e+00  9.99976e-01  1.90374e-05  1.82742e-10  5.16270e-08  2.49994e-01
 2.82843e+00  9.99978e-01  1.65878e-05  6.70495e-11  4.12504e-08  2.49995e-01
 2.95365e+00  9.99980e-01  1.44533e-05  2.35780e-11  3.29594e-08  2.49995e-01
 3.08442e+00  9.99982e-01  1.25935e-05  7.93149e-12  2.63348e-08  2.49996e-01
 3.22098e+00  9.99984e-01  1.09730e-05  2.54728e-12  2.10416e-08  2.49996e-01
 3.36359e+00  9.99985e-01  9.56100e-06  7.79477e-13  1.68123e-08  2.49996e-01
 3.51251e+00  9.99987e-01  8.33072e-06  2.26774e-13  1.34332e-08  2.49997e-01
 3.66802e+00  9.99988e-01  7.25874e-06  6.25860e-14  1.07332e-08  2.49997e-01
